Iteration: 38500, Eval Loss: 1.9031916856765747
Iteration: 38600, Eval Loss: 1.8855420351028442
Iteration: 38700, Eval Loss: 1.9161481857299805
Iteration: 38800, Eval Loss: 1.9216233491897583
Iteration: 38900, Eval Loss: 1.920857548713684
Iteration: 39000, Eval Loss: 1.916709303855896
Iteration: 39100, Eval Loss: 1.8928405046463013
Iteration: 39200, Eval Loss: 1.9045884609222412
Iteration: 39300, Eval Loss: 1.9024754762649536
Iteration: 39400, Eval Loss: 1.9278358221054077
Iteration: 39500, Eval Loss: 1.9048991203308105
Iteration: 39600, Eval Loss: 1.9090611934661865
Iteration: 39700, Eval Loss: 1.9178316593170166
Iteration: 39800, Eval Loss: 1.8958367109298706
Iteration: 39900, Eval Loss: 1.866409182548523
Iteration: 40000, Eval Loss: 1.9260467290878296
Iteration: 40100, Eval Loss: 1.9056423902511597
Iteration: 40200, Eval Loss: 1.8866817951202393
Iteration: 40300, Eval Loss: 1.8826452493667603
Iteration: 40400, Eval Loss: 1.8947142362594604
Iteration: 40500, Eval Loss: 1.8646695613861084
Iteration: 40600, Eval Loss: 1.9041754007339478
Iteration: 40700, Eval Loss: 1.95979642868042
Iteration: 40800, Eval Loss: 1.8970915079116821
Iteration: 40900, Eval Loss: 1.879793643951416
Iteration: 41000, Eval Loss: 1.8956657648086548
Iteration: 41100, Eval Loss: 1.8840720653533936
Iteration: 41200, Eval Loss: 1.9022536277770996
Iteration: 41300, Eval Loss: 1.8956812620162964
Iteration: 41400, Eval Loss: 1.9199519157409668
Iteration: 41500, Eval Loss: 1.9593545198440552
Iteration: 41600, Eval Loss: 1.921495795249939
Iteration: 41700, Eval Loss: 1.885785460472107
Iteration: 41800, Eval Loss: 1.876338243484497
Iteration: 41900, Eval Loss: 1.8998702764511108
Iteration: 42000, Eval Loss: 1.8587042093276978
Iteration: 42100, Eval Loss: 1.9158529043197632
Iteration: 42200, Eval Loss: 1.8954391479492188
Iteration: 42300, Eval Loss: 1.9128457307815552
Iteration: 42400, Eval Loss: 1.9045915603637695
Iteration: 42500, Eval Loss: 1.851775050163269
Iteration: 42600, Eval Loss: 1.8803503513336182
Iteration: 42700, Eval Loss: 1.9426192045211792
Iteration: 42800, Eval Loss: 1.8922576904296875
Iteration: 42900, Eval Loss: 1.9343420267105103
Iteration: 43000, Eval Loss: 1.9161556959152222
Iteration: 43100, Eval Loss: 1.9047224521636963
Iteration: 43200, Eval Loss: 1.8511393070220947
Iteration: 43300, Eval Loss: 1.8819594383239746
Iteration: 43400, Eval Loss: 1.8883250951766968
Iteration: 43500, Eval Loss: 1.859480381011963
Iteration: 43600, Eval Loss: 1.8904411792755127
Iteration: 43700, Eval Loss: 1.8833577632904053
Iteration: 43800, Eval Loss: 1.861196756362915
Iteration: 43900, Eval Loss: 1.866984486579895
Iteration: 44000, Eval Loss: 1.8904030323028564
Iteration: 44100, Eval Loss: 1.889626145362854
Iteration: 44200, Eval Loss: 1.9256799221038818
Iteration: 44300, Eval Loss: 1.8434109687805176
Iteration: 44400, Eval Loss: 1.8571479320526123
Iteration: 44500, Eval Loss: 1.9028400182724
Iteration: 44600, Eval Loss: 1.8419125080108643
Iteration: 44700, Eval Loss: 1.9147508144378662
Iteration: 44800, Eval Loss: 1.887623906135559
Iteration: 44900, Eval Loss: 1.9236491918563843
Iteration: 45000, Eval Loss: 1.8575050830841064
Iteration: 45100, Eval Loss: 1.9002270698547363
Iteration: 45200, Eval Loss: 1.8960516452789307
